페이지,순번,게시일,리포트명,종목명,티커,거래소,GoogleFinance 심볼,PDF URL,PDF 파일명,리포트 현재주가,Bear 목표가,Base 목표가,Bull 목표가,목표가 통화,투자포인트,GoogleFinance 현재가,Base 대비 괴리율,추출 상태,비고
1,1,2026-04-16T02:37:54,"Equity Research, SK오션플랜트",SK오션플랜트,100090,KRX,KRX:100090,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_5팀_SK오션플랜트.pdf,2026-04-16_equity-research-sk오션플랜트.pdf,23300.0,,41600.0,,KRW,"① 시의성과 정책 두 가지 드라이버가 확보되었다. 한국, 유럽, 대만 3국이 해상풍력을 강 력히 추진하며 시장을 확장시키기까지 머지 않았다. 한국은 과거의 유럽과 대만처럼 정책적 지원을 등에 업고 판매단가의 안정화를 이뤄낼 것이고, 지금까지 발전비용을 끌어올렸던 핵심 병목들을 완벽히 끊어낼 것이다. 유럽에서는 HVDC 해상 변전소의 등장이 사양 되어있던 재킷의 수요를 깨울 것이며, 대만에서는 LCR의 폐지가 동사의 추가적인 점유율 확대를 이끌 것이다. 동사는 검증된 레퍼런스와 빠른 납기, 확장될 CAPA를 바탕으로 주무기인 재킷과 함께 온 세계를 호령할 준비를 마쳤다. 조선으로의 복귀전과 데뷔전 – 투자포인트 ② 전세계적인 중소형 선단들의 노후화 현상과 선박에 대한 친환경 규제가 만나 현 시점 에서 친환경 선박에 대한 확실한 수요가 발생...","=IFERROR(GOOGLEFINANCE($H2,""price""),"""")","=IF(OR($M2="""",$Q2=""""),"""",$M2/$Q2-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,2,2026-04-16T02:36:50,"Equity Research, 세아제강",세아제강,306200,KRX,KRX:306200,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_4팀_세아제강.pdf,2026-04-16_equity-research-세아제강.pdf,,,286700.0,,KRW,"① 이란전쟁은 중동에 에너지 생산보다 운송이 중요하다는 새로운 규칙을 부여했다. 호르 무즈 해협 봉쇄에 경제적으로 가장 큰 타격을 입은 이라크, 그리고 정치적으로 가장 큰 타격을 입은 사우디는 반드시 호르무즈 우회 파이프라인을 건설할 것이다. 이러한 새로운 규칙 하에서 동사는 납기 준수 능력과 수많은 레퍼런스, 그리고 다양한 제품 포트폴리오를 바탕으로 중동에서 폭발적인 매출 성장을 이뤄낼 것이다. 3. 미국의 Now & Future – 투자포인트 ② 글로벌 에너지 패권 재편의 중심에서, 동사는 미국 시장의 현재와 미래를 관통하는 역 사적인 수혜 모멘텀을 마주했다. 중동의 지정학적 위기가 고착화시킬 고유가 국면은 시추 확대로 이어져 동사의 OCTG 실적으로 직결될 것이다. 나아가 아시아 에너지 공 급망의 핵심이 될 알래스카 LNG 프로젝트...","=IFERROR(GOOGLEFINANCE($H3,""price""),"""")","=IF(OR($M3="""",$Q3=""""),"""",$M3/$Q3-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,3,2026-04-16T02:35:46,"Equity Research, Golar LNG",Golar LNG,GLNG,NASDAQ,NASDAQ:GLNG,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_3팀_Golar_LNG_Limited.pdf,2026-04-16_equity-research-golar-lng.pdf,,,97.8,,USD,"1: Macro – LNG 올라, 수혜는 Golar 이란 전쟁의 영향은 결코 단기적이지 않다. 호르무즈 해협 봉쇄는 LNG 공급망에 지 속적인 불확실성을 부여하며 가격에 상방 압력을 가하고 있다. 여기에 카타르 LNG 액화 설비의 피해와 증설 지연까지 겹치며 LNG 공급 차질이 현실화되고 있다. 반면 신규 LNG 프로젝트는 건설이 지연되고 있는 가운데, 글로벌 LNG 수요는 여전히 견 조한 흐름을 유지하고 있다. 결국 이러한 수급 환경은 동사 이익의 핵심 변수인 글 로벌 LNG 가격의 구조적 상승을 일으킬 것이다. 투자포인트 2: Micro – FLNG 주인공 Golar를 골라 동사는 LNG 공급망 다각화 국면에서 개발도상국의 액화 플랜트 건설 한계를 해결 할 유일한 해답인 FLNG 액화 서비스를 독점 공급하는 One & Only 플레이...","=IFERROR(GOOGLEFINANCE($H4,""price""),"""")","=IF(OR($M4="""",$Q4=""""),"""",$M4/$Q4-1)",ok,
1,4,2026-04-16T02:33:42,"Equity Research, Camtek",Camtek,CAMT,NASDAQ,NASDAQ:CAMT,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_2팀_Camtek.pdf,2026-04-16_equity-research-camteck.pdf,176.51,,238.67,,USD,동사의 2027E EPS $5.89에 Target PER 40.5x를 적용한 $238.67을 목표 주가로 제 시한다. 2 년 전보다 더욱 가파르게 증가하는 빅테크의 AI Capex 투자금액과 26년부 터 시작될 HBM4 양산으로 급부상 하는 검사 장비의 중요성 그리고 AI 칩 생산을 위한 첨단 패키징 플레이어로 발돋움하는 OSAT의 밀려드는 발주까지. 三 호재의 순 풍을 타고 비상할 동사에게 지금 바로 주목해보자. Camtek Ltd. (NASDAQ: CAMT) Buy 현재주가: $ 176.51 목표주가: $ 238.67 상승여력: 35.2% Key Metrics 주요 주주 SMIC 2팀 12M 주가추이 Rating 2 Equity Research ReportㅣCamtek Ltd. (CAMT) 1 Nov 2014 Key Charts [재...,"=IFERROR(GOOGLEFINANCE($H5,""price""),"""")","=IF(OR($M5="""",$Q5=""""),"""",$M5/$Q5-1)",ok,
1,5,2026-04-16T02:32:13,"Equity Research, 비츠로셀",비츠로셀,082920,KRX,KRX:082920,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_1팀_비츠로셀.pdf,2026-04-16_equity-research-비츠로셀-3.pdf,,,78450.0,,KRW,"– Peer PER Method 동사의 2028E EPS 3,00 6원에 Target 24MF PER 26.1x를 곱한 목표주가 78,450 원, 상승여력 73.4%, 투자의견 Buy를 제시한다. 미국향 열전지가 동사의 PER 리 레이팅을 이끄면서도 고온전지와 스마트그리드가 견조하게 성장한다. 열전지 수주 가 실패하거나 미미하다고 가정하여도 현재 주가 레벨은 설명 가능한 수준이다. <추정연결손익계산서> 추정 손익계산서 (연결) (단위 : 백만원) 2022 2023 2024 2025 2026E 2027E 2028E 매출액 140,981 176,220 210,779 243,083 307,861 389,550 458,460 YoY(%) 24.49% 25.00% 19.61% 15.33% 26.65% 26.53% 17.69% 매출원가 99,387...","=IFERROR(GOOGLEFINANCE($H6,""price""),"""")","=IF(OR($M6="""",$Q6=""""),"""",$M6/$Q6-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,6,2025-12-15T07:19:41,"Equity Research, S-oil",S-oil,010950,KRX,KRX:010950,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_5팀_S_Oil.pdf,2025-12-15_equity-research-s-oil-4.pdf,80500.0,,128400.0,,KRW,"– Historical PBR Method Historical PBR Method를 통해 도출한 Target PBR Multiple 1.5x를 27E BPS 86,067원 에 곱해 목표주가 128,400원, 상승여력 59%, 투자의견 BUY를 제시한다. 또한 27E DPS 5,000원, 배당성향 30%도 제시한다. 수많은 변수들로 인해 예상하기 어려운 유 가와 정제마진을 현상황을 기준으로 가장 보수적으로 추정하여도, 샤힌 프로젝트로 인 한 폭발적인 이익 창출은 확정적이다. 즉, 샤힌 프로젝트만으로 최소 59%의 상승여력 이 나올 수 있다. 만약 정제마진이 상승한다면, 동사의 가치도 더욱 상승할 것이다. 추정 손익계산서 (단위: 십억 원) 2022 2023 2024 1Q25 2Q25 3Q25 4Q25E 2025E 2026E 2027E 20...","=IFERROR(GOOGLEFINANCE($H7,""price""),"""")","=IF(OR($M7="""",$Q7=""""),"""",$M7/$Q7-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,7,2025-12-15T07:18:30,"Equity Research, 알지노믹스",알지노믹스,476830,KRX,KRX:476830,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_4팀_알지노믹스.pdf,2025-12-15_equity-research-알지노믹스.pdf,,,105000.0,174800.0,KRW,"해외 RNA 바이오텍들이 연달아 임상에서 좋은 성과를 내며 RNA 치료제의 효과성이 입증되고 있다. RNA가 가지는 압도적인 이점이 부각되자, 빅파마들의 관심은 자연스럽 게 RNA로 향한다. 그런데, 무려 릴리와 1.9조원의 RNA 플랫폼 L/O 계약을 체결한 동 사가 겨우 3,000억원에 상장한다. 동사가 보유한 2가지 플랫폼과 다양한 파이프라인 들을 살펴보며, 아직 상장하지도 않은 동사에 주목해야 하는 이유를 체감해보자. 2. 황금알을 낳는 거위, 플랫폼 – 투자포인트 ① 동사의 RNA 치환효소 플랫폼은 RNA 교정 기술과 다중 변이 타겟 기술, 두 기술을 기반으로 수많은 미충족 수요를 충족하고 있다. 동사의 기술력은 이미 세계 최대 빅파 마 Eli Lilly 가 검증했고, RNA 치료제라면 돈을 아끼지 않는 빅파마들은 동사의 플랫폼...","=IFERROR(GOOGLEFINANCE($H8,""price""),"""")","=IF(OR($M8="""",$Q8=""""),"""",$M8/$Q8-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,8,2025-12-15T07:17:12,"Equity Research, 예스티",예스티,122640,KRX,KRX:122640,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_3팀_예스티.pdf,2025-12-15_equity-research-예스티-2.pdf,19000.0,,40500.0,,KRW,"1: 전방사 CAPA 빅사이클의 동반자, HPA 기존 고온 공정은 한계를 극복한 HPA는 계면 결함을 치유하는 필수 인프라로 자리 잡을 것이다. 26 년과 27년 글로벌 선두 반도체 업체들의 Capa 확대와 맞물려 폭발 적인 수요 증가가 예견된다. 동사는 전방 산업의 선단화 경쟁과 파운드리, 메모리 전 영역에 걸친 HPA 적용처 확대의 구조적 수혜를 온전히 흡수할 것이며, 26년부터 본격화될 수주 모멘텀을 바탕으로 확실한 실적 퀀텀 점프를 실현할 것이다. 투자포인트 2: HPA여 기다려라, YEST가 간다 전 세계에서 HPA 장비를 공급할 수 있는 기업은 동사와 HPSP뿐이다. 지금까지는 HPSP의 독무대였으나, 이제는 동사와의 경쟁이 시작될 것이다. 동사의 시장 진입을 막기 위한 HPSP의 소송은 동사에게 유리한 방향으로 흘러가고 있고...","=IFERROR(GOOGLEFINANCE($H9,""price""),"""")","=IF(OR($M9="""",$Q9=""""),"""",$M9/$Q9-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,9,2025-12-15T07:15:32,"Equity Research, 파마리서치",파마리서치,214450,KRX,KRX:214450,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_2팀_파마리서치.pdf,2025-12-15_equity-research-파마리서치-2.pdf,401500.0,,805000.0,,KRW,"– Historical PER Method 동사의 2027E EPS 30,401원에 Target Multiple 26.48x를 적용한 805,000원을 목 표주가로 제시한다. 동사를 향한 시장의 우려가 쌓이며 잠시 인고의 시간을 보내고 있는 동사다. 하지만 이는 기우에 불과하며 오리지널 브랜드 리쥬란의 해자를 기반 으로 든든한 내수수요와 함께 세계로 나가 더 큰 성장을 목도할 동사의 미래를 보 자, 굳건한 펀더멘탈을 가진 동사는 다시 본래의 자리로 되돌아갈 것이다. 추정 포괄손익계산서 (단위: 백만 원) 2021 2022 2023 2024 ~3Q25 2025E 2026E 2027E 매출액 154,083 194,759 261,011 350,115 392,944 564,409 723,478 936,679 YoY(%) 41.69% 26.40%...","=IFERROR(GOOGLEFINANCE($H10,""price""),"""")","=IF(OR($M10="""",$Q10=""""),"""",$M10/$Q10-1)",ok,Korean numeric ticker; exchange prefix inferred as KRX
1,10,2025-12-15T07:13:43,"Equity Research, Lumentum Holdings Inc",Lumentum Holdings Inc,LITE,NASDAQ,NASDAQ:LITE,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_1팀_Lumentum_Holdings_Inc.pdf,2025-12-15_equity-research-lumentum-holdings-inc.pdf,327.85,,498.63,,USD,"1. G(PU)리는 T(P)U자포인트 준비된 자에게 기회가 온다. 고성능 칩 개발에 진심이었던 동사의 기술력이 AIDC 내 네트워크 병목을 레버리지하여 실적을 폭발시키고 있다. SiPh 의 물적 한계는 동사의 EML 확대 기회이며, 동사는 빠르게 광학 부품 시장에서 고성능 칩 시장의 파이를 키워갈 것이다. 엔비디아의 차세대 네트워킹 하드웨어 또한, 동사의 레이저를 원한다. 투자포인트 2. TPU와 함께 춤을 수많은 칩을 하나처럼. TPU 의 미학은 칩 간 연결을 빛의 속도로 이어주는 동사의 OCS와 함께할 때 꽃을 피운다. TPU 생태계가 빠르게 확대되면, 고부가가치 제품인 동사의 OCS 판매도 확대된다. 구글이 그리는 거대한 AI 청사진 속 엄중한 포지션을 맡은 동사. OCS는 동사에게 얼마만큼의 시장을, 얼마만큼의 매출을 가져다줄 것...","=IFERROR(GOOGLEFINANCE($H11,""price""),"""")","=IF(OR($M11="""",$Q11=""""),"""",$M11/$Q11-1)",ok,
